datetime,batch,img_size,memoria_gb_vram,tiempo_entrenamiento,mAP50
2025-06-18 15:51:51,64,640,15.69,22.0,0.7848
2025-06-18 16:17:47,32,640,7.98,25.7,0.7898
2025-06-18 16:55:55,48,800,19.21,37.9,0.7968
2025-06-18 17:32:48,32,800,12.41,36.7,0.7958
2025-06-18 18:23:11,32,960,17.88,50.2,0.8055
2025-06-18 19:12:56,16,960,9.33,49.6,0.7994
2025-06-18 20:22:35,16,1152,13.52,69.4,0.8083
2025-06-18 21:51:41,8,1280,8.53,88.9,0.8151
